					
	03.22 Dov Dola				
					
					
				미겔	찢기고 태워진 전단지 조각을 소중히 품에 안은 채) 전 왜 실연 당한 기분이 드는 겁니까? 이런 게 사랑입니까? (시작도 안했다.)
				마티암	사랑은 쟁취하는 것이지.
				미겔	으흑, 절 버리고 가신 마티씨와 암씨의 말은 듣고 싶지 않아요...!
				마티암	내가 대신 사과하지. 암은 질투가 심해서 말이야. 날 한순간도 떼어놓지 않는다고.
				미겔	(당신의 머리를 가리키며) 그러니까, 이쪽이 암씨죠? 이쪽...이 마티씨고? (당신의 몸통으로 손가락이 옮겨진다.) 암씨만 허락해주신다면 같이 다닐 수 있다는 소~리?
				마티암	(고개를 젓는..것처럼 보였다) 이쪽이 암이네. (크기를 보면 반대여야 하는 것 같지만) 뭐, 이름은 상관없지. 동행할텐가?
				미겔	아하! 머리가 마티셨군요~! 잘 어울리는 이름이십니다. 아니, 그럼 암씨가 질투한다는 게... (몸이 질투한다는 거였군! 고개를 끄덕인다.) 동행해주시면 저야 좋지요~ 재밌어보이는 게 엄청 많았습니다!
				마티암	(몸.. 그러니까 암은 당신을 노려보는 듯했다. 믿거나말거나) 머리-마티, 몸-암. 운율이 맞지 않나. 이런 곳일수록 옷이나 장신구는 발달하여 있으니 구경만으로 재밌을 거라네. 염소에게 패해 뜯겼던 한쪽 팔을 복구할 기회기도 하고.
				미겔	(몸으로부터 따가운 시선이 느껴진다... 미겔은 고개를 돌리는 것을 택했다.) 마음에 드네요! 몸에는 암(Arm)이 있기도 하구요~ 암씨랑 친해져야 할텐데 말이죠. (당신 어깨를 조심스레 토닥인다.) 얏호! 드디어 팔을 복구할 기회입니다~! 같이 시장으로 구경 가시렵니까~?!
				마티암	그대의 진심을 보여준다면 금방 친해질 수 있을걸세. (어깨를 으쓱거렸다.) 원하는 스타일이라도 있나? 큰 마을이니 염색되어있는 옷감을 구할 수도 있을 거야. 찢어진 적 없던 것처럼 말끔하게 수선할 수도 있고. (몸을 돌려 이리저리 바라보다가 사람이 몰려있는 곳을 발견한다) 저쪽이려나.
				미겔	제 진심을 어찌 보여드리면 좋을지~ 마티씨께서 많이 많이 도와주십쇼! 흐음~ 이왕 구하는 거면 좀 특별한 느낌이었으면 좋겠습니다! 그렇다고 눈에 너무 띄는 것보단~ 어두운 색감에 독특한 재질이 좋겠군요! 팔 한쪽만 색깔이 달라도 재밌을 것 같습니다. (조잘조잘 말하다가 사람이 몰린 쪽으로 발걸음을 옮긴다.) 오! 다섯째 딸의 결혼식이라더니 화려하게도 꾸며놨네요~
				마티암	이 천 저 천 이어붙이는 것은 자신 있지. 에스시더의 반려마물에게 만들어줬던 옷이 정말 걸작이었는데 말이야. 내가 옷감을 많이 들고 다니지 않는다는 점 알고 있나? 거추장스럽다는 이유가 크지만, 그렇게 잘라가며 만든 옷이 매력적이란 이유도 있거든. 새로운 시그니처랄까. (당신의 옆에서 보폭을 맞춰 걷는다.) 저기 위에 걸려있는 파티 플래그 색은 어때? 천을 잘라서 만든 것 같은데.
				미겔	아, 그건 저도 봤습니다! 그게 마티씨와 암씨의 솜씨였군요, 역시! (당신의 물음에 고개를 엸심히 젓다가 답을 듣고는 고개를 끄덕인다.) 한 가지 천보단 다양하게 섞는 걸 좋아하시는군요! 오! 저것도 좋네요~! (눈을 가늘게 뜨고 올려다본다.) 마티씨와 암씨가 특별히 좋아하시는 색감도 있으십니까~?
				마티암	마을에서 대놓고 마물의 치수를 잴 수는 없어 있는 옷감을 탈탈 털어 만들었지. 그 때문에 어깨가 좀 시린 옷이 되긴 했지만.. (그래도 보기엔 나쁘지 않았다) 한 가지 천으로 하다 그 천이 동나면 미완성 옷이 되잖아? 하지만 자르고 이어붙여 만들면.. 의도했다는 것으로 퉁칠 수 있지. 새로운 천을 섞어도 문제없고. (당신의 말에 회상하는 듯하다가) ..희미한 푸른 계열과 붉은색을 섞어 만드는 것을 좋아했어. 우중충해서 인기는 없었지만.
				미겔	어깨를 살짝, 드러내는 게 또 멋 아니겠습니까? (양쪽 어깨가 드러난 제 옷을 가리키며 어깨를 으쓱인다.) 하긴, 모험을 하며 그 많은 옷감을 다 들고 다닐 수도 없으니~ 섞는 게 훨씬 효율에도, 변명에도 좋겠습니다. 예~?! 왜 인기가 없었답니까? 듣기만 해도 매력적인데요! 전 희미한 색감을 좋아하거든요. 푸른색도, 붉은색도 좋아하고 말입니다! (흠, 하고 잠시 고민을 하다가) 결정했습니다! 마티암씨가 좋아하는 색감으로 팔을 채우고 싶군요~
				마티암	그 어깨미를 살려서 만들고 싶은데 말이야. (어깨가 파인 반팔..?) 내 고향은 이곳과 비슷했거든. 사랑이 넘치는 동네는 아니었지만.. 다들 화려하고, 밝고, 반짝거리는 것에 열광했지. 그 사이에 희미한 색감이 끼어 있다고 생각해보게. 초라하게 느껴지지 않나? (큭큭 웃었다) ..그런 옷감이 있으려나. 염색을 해야 할지도 모르겠어.
				미겔	그럼 또 어깨가 드러나는 옷이 완성되는 겁니까~? 팔 한쪽을 되찾으려다가 또 어깨만 드러나게 되겠군요! 후후. (어깨만 뻥 뚫린 팔이 긴 옷을 상상해본다. 음, 멋있을지도!) 그곳도 무척 왁자지껄했나보군요~ 그렇습니까~? 전 독특한 거, 희귀한 걸 좋아해서 그런지 저라면 그 하나를 골랐을 겁니다! 초라하기보단 특별하게 느껴지거든요. 오, 마티씨, 암씨~ 염색도 할 줄 아십니까~? 아, 마침 저기 염색제랑 천감을 같이 파는 곳이 있네요! (손가락으로 눈 앞의 가게를 가리킨다.)
				마티암	그대가 원한다면 어깨를 살릴 수도 있네. 바드의 매력은 어깨 아니겠어? (농담) 다들 멋내는 것을 좋아했지. 돋보일 만큼 독특하지만, 그들이 생각하는 미에서 벗어나지 않는.. 새로운 옷. 덕분에 가게는 잘되었지. 다들 집에 옷이 백 벌씩 있었을걸? (가벼운 투로 이야기하곤 웃었다) 미겔은 화려한 옷보다 그게 더 어울리지. 염색은.. 가게에 있었을 때 곧잘 했는데 말이야. 6년 전이라 자신할 수가 없네. (당신의 손가락을 따라 가게를 확인한다) 음, 아예 염색을 할거면 천은 흰색으로.. (천을 들어 재질을 확인했다. 이건 너무 무거운데. 옆의 천이 나으려나?)
				미겔	하하하, 바드의 매력이 목소리가 아닌 어깨라고 하신 분은 처음 봅니다요! 어느 정도 슬쩍, 보여줘도 제법 매력 있겠다, 싶습니다~ 사실 어깨가 보이니 통풍이 잘 되어 좋긴 하거든요! 세상에, 그럼 결국 그 희미한 색감의 옷은 포기하시고 사람들이 좋아할 만한 옷으로 유명해지신 겁니까~? 가게가 잘 되었다면 다행이긴 합니다만... 괜찮습니다! 염색을 하실 때 저도 도울 일이 있으면 도우면 되니까요~ 그렇지요, 암씨? (어깨 동무!) 오오, 천도 엄청 다양하네요. (당신과 함께 천을 구경하다가 신중하게 고민하는 당신을 본다.)
