					
	04. 09 Arcanspire				
				마티암	듀라한은.. 말까지 세트인 것 아나? (말이 푸르릉댄다)
				미겔	우와~! (부럽다는 눈빛.)
				마티암	(다그닥다그닥다그닥닥. 하나의 몸인 것마냥 간지나게 걷는다)
				미겔	우와아아아아아, 음? 하하하, 모자는 이 친구가 썼군요~? (말 머리를 마구 쓰다듬어준다!)
				마티암	어쩌면.. 그곳까지 나일수도. (쓰다듬으니 기분좋은듯 목을 더 내민다)
				미겔	네~에?! 마티암씨는 그, 말 위에 기사 부분 아닙니까? (말은 마티암과 별개인줄 알고 마음껏 쓰다듬은건데! 민망한지 손을 뗀다.) 후후...
				마티암	기사 부분이 본체인 것 같긴 하네만.. 말과 아주 별개는 아닌 것 같아. 신기한 감각이지. (푸르릉 거린다) 더 쓰다듬어도 돼. ..바란손 미겔.
				미겔	아무래도 듀라한은 말까지가 완성이니, 감각이 연결되어있나봅니다! (더? 마티암씨, 사실 제 쓰다듬이 좋으셨던 거죠~? 그렇게 물으며 당신의 허락이 떨어지기가 무섭게 마음껏 쓰다듬는다. 복복 박박 북북...) 앗! ...역시 티나는 겁니까, 저는! (하하하, 웃다가) 혹시 태워주실 수도 있습니까?
				마티암	(정말 듀라한이 되니 뻔뻔해지기로 했다.. 당신의 손길을 즐긴다) 바란손과의 일대일 전투를 직접 확인한 몸인데. (타라는 듯 말이 뚜벅뚜벅 걸어 몸통 쪽을 보이게 한다)
				미겔	(손길을 즐기는 모습을 빤~히 본다. 어째선지 더 뻔뻔해지신 것 같은데... 혹시 말이 마티고 갑옷이 암인가?! 그런 생각까지도 든다.) 그럼 실례하겠습니다! (단숨에 말 등에 올라 목없는 기사를 뒤에서 안는다.) 야호!
				마티암	(알 수 없는 일이다. 하지만 당신이 선물해 준 모자는 확실히 말의 머리 위에 있다) ..그럼. (갑옷이 고삐를 잡자, 말이 마계를 걸어 다니기 시작한다. 일정한 간격으로 몸이 흔들린다) 어디까지 갈 수 있으려나.
